time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.9465803415e-06,1.74578386624e-05,10.0020984869,0.00515098581655,0.00114448686824,0.0,-0.0002892018375,0.00106134945133,0.0699463773586,0.0236909427091,-0.0129803804691,0.0,427.60497642234895,426.498043912735,426.4554975264489,428.4738989843217
0.12000000000000001,-5.09215376324e-05,0.000237570512288,10.011626732,0.013595352708,0.00148184028305,0.0,-0.00129614862171,0.00726854534206,0.247631204298,-0.00656401444596,-0.0258157730613,0.0,462.14234202658514,461.1297849899443,461.38281145377374,458.98831014457244
0.18,-0.000177481157689,0.000983568704127,10.0316245437,0.0136804316863,0.00542752592918,0.0,-0.00333903912605,0.0175996595354,0.418913488668,-8.86674522343e-05,-0.00130987142926,0.0,458.56854875695075,460.51078815667194,458.339879608552,458.8542142566376
0.23999999999999996,-0.000499722459487,0.00232320690512,10.0595522278,0.0148766224018,0.00860044519165,0.0,-0.0077037625056,0.0271641642157,0.511968092248,0.0107787400718,0.0172795891695,0.0,433.6344884292893,435.19295910628307,434.9653743354609,435.8743279127211
0.3,-0.00112804044648,0.00423643989277,10.0914961173,0.0155330545151,0.00966080809673,0.0,-0.013338088748,0.0366737245609,0.552807078924,0.00796476272674,0.0181460867211,0.0,418.49645131457913,418.57180396620413,417.6374959504012,417.3919069099984
0.36000000000000004,-0.00220819603205,0.00687658843013,10.1343986325,0.0186050673478,0.0128947645131,0.0,-0.0230823617699,0.0517210646079,0.877073966878,0.0244490707557,0.0330352275598,0.0,503.66797110771876,504.74348081713487,502.1245193393801,503.3186599321867
0.4200000000000001,-0.0039431712617,0.0104266806547,10.1926304074,0.0216123971566,0.0239406922989,0.0,-0.0360559286887,0.0669742219453,1.06380025344,0.00960032970482,-0.00116633344654,0.0,465.70419946369555,463.0216944438661,465.17175629271077,464.00763191862865
0.48000000000000015,-0.00663653805538,0.0149111628203,10.2599778098,0.0235188936661,0.0293185940078,0.0,-0.0543105198802,0.0827192673011,1.18097807259,-0.00429203570523,-0.0279629292656,0.0,444.15490681080377,441.952076037281,444.7052791089922,443.5659242772007
0.5400000000000001,-0.0104540499499,0.0203558957744,10.3322867747,0.0320777720063,0.028640266196,0.0,-0.0728860607765,0.0996098338012,1.22924754284,-0.0380406258914,-0.0401800793847,0.0,421.48429578358787,420.42676138587063,424.0062409868802,421.0971815470856
0.6000000000000002,-0.0154770849036,0.0270578201345,10.4110231472,0.0320918530277,0.0291319703407,0.0,-0.0945787376242,0.123765383322,1.39510806742,-0.0225967887899,-0.0226788727424,0.0,458.0421676281956,459.43125856497727,458.7272329619572,459.9514401680019
0.6600000000000003,-0.021866955422,0.0352587079392,10.5013974828,0.0307722915273,0.0301279163615,0.0,-0.118550167135,0.149433402038,1.61708093609,-0.0262030644322,-0.040738468927,0.0,477.1228039414152,475.74195319212794,475.9936955849882,475.717637095047
0.7200000000000003,-0.0296077231248,0.0448694415394,10.6018892207,0.0293737556938,0.0276863797401,0.0,-0.139218990675,0.170778919188,1.73248566947,-0.0321231562483,-0.0432702753172,0.0,444.69393842726856,444.48559154259175,444.72862931360004,444.2432861838765
0.7800000000000004,-0.0385263631314,0.0557311344983,10.7086878756,0.0331970853882,0.0271167740722,0.0,-0.157993292081,0.191634193227,1.82731075962,-0.00702636069219,-0.0288297035533,0.0,437.52876489848126,438.7285316003052,437.646791555839,439.7304487654651
0.8400000000000004,-0.0486131926436,0.0679387557583,10.8219314435,0.0344661242311,0.0351845988001,0.0,-0.179041076931,0.215397444222,1.94724549138,0.00606754864835,0.00427990647998,0.0,445.11611314780083,447.81729759812896,446.3424984235769,447.40981114252054
0.9000000000000005,-0.0601632786477,0.0816731322352,10.943600826,0.0425707541127,0.0384276202587,0.0,-0.206334578695,0.243338518574,2.10806190995,-0.0256333899319,-0.0158881002055,0.0,461.1887737413536,459.59318172002895,460.36555054299174,457.8505016786116
0.9600000000000005,-0.0732968018988,0.097105164639,11.0720784463,0.0414730353702,0.0374624578727,0.0,-0.231353276298,0.270943042721,2.1744059265,-0.0194663703516,-0.0169659176092,0.0,430.9513286876934,430.86030010858326,430.55156610379663,431.07290729770375
1.0200000000000005,-0.0880840711568,0.114344872265,11.2084780747,0.0424453256716,0.0416358114324,0.0,-0.262058010994,0.303828151036,2.37182603189,-0.0367373455527,-0.0431539661219,0.0,473.1109107894918,471.0902343398122,471.8560482929985,470.52083226448104
1.0800000000000005,-0.10456911544,0.133358583677,11.3514460332,0.0443747327145,0.0408726740287,0.0,-0.287361763774,0.33015438736,2.39371643636,-0.0602418138234,-0.0295024854912,0.0,416.4107278773146,417.6023467209522,418.92581437695236,416.8757426796725
1.1400000000000006,-0.122516591533,0.15392588477,11.4947396406,0.0413356125219,0.0392089110962,0.0,-0.310752233602,0.355168542326,2.38277457511,-0.0698378826792,-0.0344718167148,0.0,407.2704025715929,406.82526743610345,406.267571820304,405.4029085909852
1.2000000000000006,-0.142091807609,0.176215966932,11.6436910355,0.0420344956378,0.0389127615093,0.0,-0.3417239326,0.38792536064,2.5818315822,-0.0952899560839,-0.050304165839,0.0,473.3253711849844,472.1046770857356,474.2829115947398,472.3195758736752
1.2600000000000007,-0.163361900326,0.200279771632,11.7995340643,0.0453135991196,0.0497883753544,0.0,-0.368313513649,0.41446637366,2.61279590885,-0.0636116041009,-0.092354330558,0.0,423.6159635209623,419.9810854765758,419.9200748626481,422.65273679814214
